ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
23,QUINTANA ROO,14,CHETUMAL,PVEM,6027,36206,119,1546,37871,70095,6027
23,QUINTANA ROO,14,CHETUMAL,PT,609,36206,119,1546,37871,70095,609
23,QUINTANA ROO,14,CHETUMAL,MC,7097,36206,119,1546,37871,70095,7097
23,QUINTANA ROO,14,CHETUMAL,MORENA,10641,36206,119,1546,37871,70095,10641
23,QUINTANA ROO,14,CHETUMAL,MAS,1617,36206,119,1546,37871,70095,1617
23,QUINTANA ROO,14,CHETUMAL,CXQROO,434,36206,119,1546,37871,70095,434
23,QUINTANA ROO,14,CHETUMAL,FXMQROO,410,36206,119,1546,37871,70095,410
23,QUINTANA ROO,14,CHETUMAL,CAND_IND1,1878,36206,119,1546,37871,70095,1878
23,QUINTANA ROO,14,CHETUMAL,PAN_PRD_CXQROO,90,36206,119,1546,37871,70095,5046
23,QUINTANA ROO,14,CHETUMAL,PAN_PRD,80,36206,119,1546,37871,70095,4602
23,QUINTANA ROO,14,CHETUMAL,PAN_CXQROO,22,36206,119,1546,37871,70095,4156
23,QUINTANA ROO,14,CHETUMAL,PRD_CXQROO,5,36206,119,1546,37871,70095,1261
23,QUINTANA ROO,14,CHETUMAL,PVEM_PT_MORENA_FXMQROO,63,36206,119,1546,37871,70095,17750
23,QUINTANA ROO,14,CHETUMAL,PVEM_PT_MORENA,47,36206,119,1546,37871,70095,17324
23,QUINTANA ROO,14,CHETUMAL,PVEM_PT_FXMQROO,2,36206,119,1546,37871,70095,7048
23,QUINTANA ROO,14,CHETUMAL,PVEM_MORENA_FXMQROO,8,36206,119,1546,37871,70095,17086
23,QUINTANA ROO,14,CHETUMAL,PT_MORENA_FXMQROO,5,36206,119,1546,37871,70095,11665
23,QUINTANA ROO,14,CHETUMAL,PVEM_PT,43,36206,119,1546,37871,70095,6679
23,QUINTANA ROO,14,CHETUMAL,PVEM_MORENA,796,36206,119,1546,37871,70095,17464
23,QUINTANA ROO,14,CHETUMAL,PVEM_FXMQROO,12,36206,119,1546,37871,70095,6449
23,QUINTANA ROO,14,CHETUMAL,PT_MORENA,47,36206,119,1546,37871,70095,11297
23,QUINTANA ROO,14,CHETUMAL,PT_FXMQROO,6,36206,119,1546,37871,70095,1025
23,QUINTANA ROO,14,CHETUMAL,MORENA_FXMQROO,25,36206,119,1546,37871,70095,11076
23,QUINTANA ROO,15,CHETUMAL,PAN,3213,38411,66,1704,40181,78865,3213
23,QUINTANA ROO,15,CHETUMAL,PRI,1935,38411,66,1704,40181,78865,1935
23,QUINTANA ROO,15,CHETUMAL,PRD,1214,38411,66,1704,40181,78865,1214
23,QUINTANA ROO,15,CHETUMAL,PVEM,6203,38411,66,1704,40181,78865,6203
23,QUINTANA ROO,15,CHETUMAL,PT,728,38411,66,1704,40181,78865,728
23,QUINTANA ROO,15,CHETUMAL,MC,9327,38411,66,1704,40181,78865,9327
23,QUINTANA ROO,15,CHETUMAL,MORENA,10561,38411,66,1704,40181,78865,10561
23,QUINTANA ROO,15,CHETUMAL,MAS,2979,38411,66,1704,40181,78865,2979
23,QUINTANA ROO,15,CHETUMAL,CXQROO,487,38411,66,1704,40181,78865,487
23,QUINTANA ROO,15,CHETUMAL,FXMQROO,544,38411,66,1704,40181,78865,544
23,QUINTANA ROO,15,CHETUMAL,CAND_IND1,NA,38411,66,1704,40181,78865,0
23,QUINTANA ROO,15,CHETUMAL,PAN_PRD_CXQROO,87,38411,66,1704,40181,78865,5001
23,QUINTANA ROO,15,CHETUMAL,PAN_PRD,90,38411,66,1704,40181,78865,4517
23,QUINTANA ROO,15,CHETUMAL,PAN_CXQROO,22,38411,66,1704,40181,78865,3722
23,QUINTANA ROO,15,CHETUMAL,PRD_CXQROO,4,38411,66,1704,40181,78865,1705
23,QUINTANA ROO,15,CHETUMAL,PVEM_PT_MORENA_FXMQROO,25,38411,66,1704,40181,78865,18061
