ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,MORENA,NAO,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,271,SAN MIGUEL PANIXTLAHUACA,2,7,21,420,87,15,33,15,15,1177,13,30,52,12,3,4,0,3,0,0,1900,0,129,2029,4465,
20,OAXACA,316,SAN PEDRO MIXTEPEC,13,61,377,7802,136,195,89,217,97,9466,185,134,363,54,94,39,4,41,0,0,19293,4,435,19732,37599,
20,OAXACA,332,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,21,61,169,7073,267,104,1112,199,1849,7840,689,116,139,144,150,16,0,15,0,0,19882,0,610,20492,35196,
20,OAXACA,364,SANTA CATARINA JUQUILA,7,25,628,3189,581,41,914,58,69,2800,31,89,95,158,22,20,55,12,0,0,8762,0,319,9081,12579,
20,OAXACA,434,SANTA MARIA TEMAXCALTEPEC,1,3,15,329,12,19,15,9,12,287,16,20,46,6,1,1,0,2,0,0,790,0,29,819,1835,
20,OAXACA,490,SANTIAGO TETEPEC,3,8,120,854,37,159,143,6,26,899,190,19,9,7,14,4,0,1,0,0,2488,0,86,2574,3451,
20,OAXACA,498,SANTIAGO YAITEPEC,1,4,48,281,159,20,52,12,52,458,10,15,47,17,1,1,1,0,0,0,1174,0,61,1235,2941,
20,OAXACA,530,SANTOS REYES NOPALA,7,24,29,3835,127,56,57,29,53,3312,28,97,167,26,37,7,2,11,0,0,7873,9,207,8089,13023,
20,OAXACA,542,TATALTEPEC DE VALDES,3,8,24,712,115,24,34,23,95,663,37,25,17,10,5,4,0,2,0,0,1790,0,130,1920,4072,
20,OAXACA,14,CANDELARIA LOXICHA,7,15,101,915,61,62,73,37,39,1361,174,72,94,39,9,6,0,2,0,0,3045,1,124,3170,7303,
20,OAXACA,59,MIAHUATLAN DE PORFIRIO DIAZ,22,63,372,3346,154,278,1406,167,2608,6150,4289,142,115,504,19,10,0,13,0,0,19573,1,918,20492,35347,
20,OAXACA,61,MONJAS,2,4,23,156,6,34,32,16,22,198,401,10,9,7,2,2,0,1,0,0,919,0,46,965,2320,
20,OAXACA,82,SAN AGUSTIN LOXICHA,13,34,187,3396,182,186,147,105,104,3830,184,298,203,161,39,11,1,2,0,0,9036,0,311,9347,17130,
20,OAXACA,92,SAN ANDRES PAXTLAN,3,7,27,496,8,15,25,9,12,177,252,17,13,13,10,5,0,1,0,0,1080,0,79,1159,3210,
20,OAXACA,110,SAN BALTAZAR LOXICHA,1,4,20,187,10,8,28,16,15,423,34,21,6,21,2,1,0,0,0,0,792,0,47,839,2190,
20,OAXACA,123,SAN CRISTOBAL AMATLAN,4,7,36,353,15,36,29,18,30,518,382,48,28,42,1,3,1,0,0,0,1540,0,67,1607,3716,
20,OAXACA,145,SAN FRANCISCO OZOLOTEPEC,2,3,8,148,15,9,17,9,7,310,15,29,9,15,2,0,0,0,0,0,593,0,22,615,1427,
20,OAXACA,151,SAN ILDEFONSO AMATLAN,2,4,38,469,4,18,15,11,9,131,78,8,5,22,0,1,0,1,0,0,810,0,32,842,1746,
20,OAXACA,165,SAN JOSE DEL PEÑASCO,2,3,8,500,3,10,6,4,10,50,156,4,2,8,2,1,0,0,0,0,764,0,23,787,1551,
20,OAXACA,209,SAN JUAN MIXTEPEC.,1,1,8,26,6,7,11,5,6,128,24,9,12,41,0,0,0,0,0,0,283,0,13,296,516,
20,OAXACA,211,SAN JUAN OZOLOTEPEC,3,4,26,160,13,11,40,6,12,403,114,22,22,15,7,0,0,1,0,0,852,0,30,882,2099,
20,OAXACA,236,SAN MARCIAL OZOLOTEPEC,2,2,45,148,9,11,13,4,10,87,43,3,2,12,1,6,0,2,0,0,396,0,23,419,1019,
20,OAXACA,252,SAN MATEO RIO HONDO,4,6,257,357,45,22,47,18,30,519,290,15,15,67,17,15,3,1,0,0,1718,0,126,1844,2550,
20,OAXACA,264,SAN MIGUEL COATLAN,2,5,16,610,7,14,11,5,4,75,110,4,3,1,2,2,2,0,0,0,866,0,31,897,2272,
20,OAXACA,265,SAN MIGUEL DEL PUERTO,6,13,50,790,28,38,34,19,25,977,417,53,131,36,18,5,4,8,0,0,2633,0,109,2742,6381,
20,OAXACA,277,SAN MIGUEL SUCHIXTEPEC,2,4,28,119,19,11,35,10,8,311,60,11,9,20,6,1,0,0,0,0,648,0,39,687,2170,
20,OAXACA,289,SAN PABLO COATLAN,3,6,20,662,11,25,35,15,17,383,237,30,12,17,5,0,0,1,0,0,1470,0,56,1526,3003,
20,OAXACA,317,SAN PEDRO MIXTEPEC.,1,1,3,35,1,2,9,1,3,224,11,4,8,4,1,0,0,0,0,0,306,0,11,317,743,
20,OAXACA,344,SAN SEBASTIAN RIO HONDO,3,5,24,661,169,20,15,10,8,217,256,11,10,7,3,1,1,1,0,0,1414,0,40,1454,2872,
20,OAXACA,353,SANTA ANA,1,3,13,61,5,20,30,7,10,229,122,11,6,14,0,0,0,1,0,0,529,0,32,561,1680,
20,OAXACA,361,SANTA CATALINA QUIERI,1,1,2,15,0,5,4,5,8,166,77,15,2,13,0,0,0,0,0,0,312,0,13,325,668,
20,OAXACA,362,SANTA CATARINA CUIXTLA,1,2,17,61,7,8,15,6,9,176,118,8,9,7,1,0,0,0,0,0,442,0,27,469,1102,
20,OAXACA,366,SANTA CATARINA LOXICHA,3,5,16,196,16,15,23,12,10,384,23,15,11,21,1,1,0,0,0,0,744,0,27,771,2442,
20,OAXACA,370,SANTA CATARINA QUIOQUITANI,1,1,1,11,1,0,4,15,2,149,13,6,1,6,1,0,0,0,0,0,210,0,3,213,351,
20,OAXACA,385,SANTA CRUZ XITLA,3,6,16,477,10,21,35,13,28,324,185,3,10,10,2,1,0,1,0,0,1136,0,61,1197,3582,
20,OAXACA,393,SANTA LUCIA MIAHUATLAN,2,6,12,620,4,21,16,2,22,110,269,1,12,11,2,3,0,1,0,0,1106,3,78,1187,2204,
20,OAXACA,425,SANTA MARIA OZOLOTEPEC,5,6,73,370,14,28,45,9,29,366,280,31,13,25,3,1,1,0,0,0,1288,0,50,1338,2622,
20,OAXACA,496,SANTIAGO XANICA,4,5,19,254,11,9,28,7,13,515,32,18,17,27,0,1,0,1,0,0,952,0,58,1010,2071,
20,OAXACA,512,SANTO DOMINGO OZOLOTEPEC,1,2,9,76,5,6,6,3,5,132,15,9,6,6,1,1,0,0,0,0,280,0,22,302,757,
20,OAXACA,529,SANTO TOMAS TAMAZULAPAN,1,3,13,49,1,7,73,11,12,314,83,10,4,8,1,0,0,0,0,0,586,0,24,610,1782,
20,OAXACA,535,SITIO DE XITLAPEHUA,1,1,30,65,1,2,17,2,3,104,59,4,2,4,1,1,0,0,0,0,295,0,14,309,545,
20,OAXACA,70,PLUMA HIDALGO,4,5,48,244,20,96,217,11,6,331,4,20,41,11,6,3,1,2,0,0,1061,0,52,1113,2490,
20,OAXACA,116,SAN BARTOLOME LOXICHA,2,4,12,97,9,9,107,2,3,271,0,27,11,5,0,1,1,0,0,0,555,0,30,585,1524,
