Año,ID_estado,Nombre_estado,ID_distrito_local,Cabecera_distrital_local,Partido,Votos,Votos_validos,Votos_candidato_sin_registro,Votos_nulos,Total_de_votos,Lista_nominal,votos_coalicion,Coalición
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PRI_PVEM...23,109,11098,34,453,11551,19608,2749,Sí
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PRI_NUAL,10,11098,34,453,11551,19608,2794,Sí
2015,3,BAJA CALIFORNIA SUR,2,LA PAZ,PVEM_NUAL,1,11098,34,453,11551,19608,382,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PAN_PRS,4693,11906,17,427,12333,20418,4693,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI,2798,11906,17,427,12333,20418,2798,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRD_PT_MC,929,11906,17,427,12333,20418,929,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PVEM,188,11906,17,427,12333,20418,188,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,NUAL,169,11906,17,427,12333,20418,169,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,MORENA,851,11906,17,427,12333,20418,851,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PH,286,11906,17,427,12333,20418,286,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,ES,891,11906,17,427,12333,20418,891,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,FACA,484,11906,17,427,12333,20418,484,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,JLCM,369,11906,17,427,12333,20418,369,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI_PVEM_NUAL,110,11906,17,427,12333,20418,3265,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI_PVEM...23,110,11906,17,427,12333,20418,2908,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI_NUAL,9,11906,17,427,12333,20418,2976,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PVEM_NUAL,2,11906,17,427,12333,20418,359,Sí
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PAN_PRS,14965,31803,47,1106,32909,65271,14965,Sí
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PRI,5779,31803,47,1106,32909,65271,5779,No
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PRD_PT_MC,2460,31803,47,1106,32909,65271,2460,Sí
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PVEM,606,31803,47,1106,32909,65271,606,No
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,NUAL,735,31803,47,1106,32909,65271,735,No
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,MORENA,2664,31803,47,1106,32909,65271,2664,No
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PH,2672,31803,47,1106,32909,65271,2672,No
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,ES,1460,31803,47,1106,32909,65271,1460,No
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PRI_PVEM_NUAL,211,31803,47,1106,32909,65271,7331,Sí
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PRI_PVEM...23,170,31803,47,1106,32909,65271,5949,Sí
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PRI_NUAL,30,31803,47,1106,32909,65271,6544,Sí
2015,3,BAJA CALIFORNIA SUR,4,LA PAZ,PVEM_NUAL,4,31803,47,1106,32909,65271,1345,Sí
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,PAN_PRS,7954,19286,39,848,20134,34177,7954,Sí
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,PRI_PVEM...9,5368,19286,39,848,20134,34177,5368,Sí
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,PRD_PT_MC,1147,19286,39,848,20134,34177,1147,Sí
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,NUAL,986,19286,39,848,20134,34177,986,No
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,MORENA,1651,19286,39,848,20134,34177,1651,No
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,PH,610,19286,39,848,20134,34177,610,No
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,ES,852,19286,39,848,20134,34177,852,No
2015,3,BAJA CALIFORNIA SUR,5,LA PAZ,JRM,679,19286,39,848,20134,34177,679,No
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,PAN_PRS,4532,8405,33,410,8815,15264,4532,Sí
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,PRI_PVEM...9,2830,8405,33,410,8815,15264,2830,Sí
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,PRD_PT_MC,378,8405,33,410,8815,15264,378,Sí
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,NUAL,88,8405,33,410,8815,15264,88,No
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,MORENA,297,8405,33,410,8815,15264,297,No
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,PH,214,8405,33,410,8815,15264,214,No
2015,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,ES,33,8405,33,410,8815,15264,33,No
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,PAN_PRS,10999,30962,31,1035,31997,65869,10999,Sí
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,PRI_PVEM...9,5541,30962,31,1035,31997,65869,5541,Sí
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,PRD_PT_MC,10359,30962,31,1035,31997,65869,10359,Sí
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,NUAL,405,30962,31,1035,31997,65869,405,No
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,MORENA,1883,30962,31,1035,31997,65869,1883,No
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,PH,933,30962,31,1035,31997,65869,933,No
2015,3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,ES,811,30962,31,1035,31997,65869,811,No
2015,3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,PAN_PRS,16466,31060,85,1180,32240,80334,16466,Sí
2015,3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,PRI_PVEM...9,3581,31060,85,1180,32240,80334,3581,Sí
2015,3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,PRD_PT_MC,6281,31060,85,1180,32240,80334,6281,Sí
2015,3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,NUAL,781,31060,85,1180,32240,80334,781,No
2015,3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,MORENA,2430,31060,85,1180,32240,80334,2430,No
2015,3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,ES,1436,31060,85,1180,32240,80334,1436,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PAN_PRS,4080,8000,10,174,8174,13104,4080,Sí
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PRI,2192,8000,10,174,8174,13104,2192,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PRD_PT_MC,1027,8000,10,174,8174,13104,1027,Sí
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PVEM,65,8000,10,174,8174,13104,65,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,NUAL,77,8000,10,174,8174,13104,77,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,MORENA,244,8000,10,174,8174,13104,244,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PH,80,8000,10,174,8174,13104,80,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,ES,95,8000,10,174,8174,13104,95,No
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PRI_PVEM_NUAL,46,8000,10,174,8174,13104,2380,Sí
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PRI_PVEM...23,80,8000,10,174,8174,13104,2272,Sí
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PRI_NUAL,4,8000,10,174,8174,13104,2273,Sí
2015,3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,PVEM_NUAL,0,8000,10,174,8174,13104,142,Sí
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PAN_PRS,5096,10174,1,348,10522,18516,5096,Sí
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PRI,2973,10174,1,348,10522,18516,2973,No
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PRD_PT_MC,951,10174,1,348,10522,18516,951,Sí
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PVEM,101,10174,1,348,10522,18516,101,No
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,NUAL,93,10174,1,348,10522,18516,93,No
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,MORENA,256,10174,1,348,10522,18516,256,No
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PH,74,10174,1,348,10522,18516,74,No
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,ES,380,10174,1,348,10522,18516,380,No
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PRI_PVEM_NUAL,78,10174,1,348,10522,18516,3245,Sí
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PRI_PVEM...23,162,10174,1,348,10522,18516,3135,Sí
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PRI_NUAL,9,10174,1,348,10522,18516,3075,Sí
2015,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,PVEM_NUAL,0,10174,1,348,10522,18516,194,Sí
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,PAN_PRS,4170,9698,1,329,10027,15613,4170,Sí
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,PRI_PVEM...9,3708,9698,1,329,10027,15613,3708,Sí
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,PRD_PT_MC,532,9698,1,329,10027,15613,532,Sí
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,NUAL,191,9698,1,329,10027,15613,191,No
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,MORENA,181,9698,1,329,10027,15613,181,No
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,PH,799,9698,1,329,10027,15613,799,No
2015,3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,ES,116,9698,1,329,10027,15613,116,No
2015,3,BAJA CALIFORNIA SUR,12,LORETO,PAN_PRS,4577,10345,0,383,10728,14955,4577,Sí
2015,3,BAJA CALIFORNIA SUR,12,LORETO,PRI_PVEM...9,2576,10345,0,383,10728,14955,2576,Sí
2015,3,BAJA CALIFORNIA SUR,12,LORETO,PRD_PT_MC,744,10345,0,383,10728,14955,744,Sí
2015,3,BAJA CALIFORNIA SUR,12,LORETO,NUAL,770,10345,0,383,10728,14955,770,No
2015,3,BAJA CALIFORNIA SUR,12,LORETO,MORENA,202,10345,0,383,10728,14955,202,No
2015,3,BAJA CALIFORNIA SUR,12,LORETO,PH,527,10345,0,383,10728,14955,527,No
2015,3,BAJA CALIFORNIA SUR,12,LORETO,ES,95,10345,0,383,10728,14955,95,No
2015,3,BAJA CALIFORNIA SUR,12,LORETO,ISRM,854,10345,0,383,10728,14955,854,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PAN_PRS,3553,8732,14,410,9142,14621,3553,Sí
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PRI,1662,8732,14,410,9142,14621,1662,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PRD_PT_MC,225,8732,14,410,9142,14621,225,Sí
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PVEM,57,8732,14,410,9142,14621,57,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,NUAL,451,8732,14,410,9142,14621,451,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,MORENA,104,8732,14,410,9142,14621,104,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PH,703,8732,14,410,9142,14621,703,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,ES,960,8732,14,410,9142,14621,960,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,MARM,879,8732,14,410,9142,14621,879,No
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PRI_PVEM_NUAL,18,8732,14,410,9142,14621,2188,Sí
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PRI_PVEM...23,30,8732,14,410,9142,14621,1692,Sí
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PRI_NUAL,8,8732,14,410,9142,14621,2121,Sí
2015,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,PVEM_NUAL,68,8732,14,410,9142,14621,576,Sí
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PAN_PRS,2902,7800,6,377,8177,15884,2902,Sí
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PRI,1847,7800,6,377,8177,15884,1847,No
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PRD_PT_MC,393,7800,6,377,8177,15884,393,Sí
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PVEM,147,7800,6,377,8177,15884,147,No
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,NUAL,1327,7800,6,377,8177,15884,1327,No
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,MORENA,490,7800,6,377,8177,15884,490,No
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PH,420,7800,6,377,8177,15884,420,No
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,ES,132,7800,6,377,8177,15884,132,No
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PRI_PVEM_NUAL,45,7800,6,377,8177,15884,3366,Sí
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PRI_PVEM...23,37,7800,6,377,8177,15884,1884,Sí
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PRI_NUAL,44,7800,6,377,8177,15884,3218,Sí
2015,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,PVEM_NUAL,10,7800,6,377,8177,15884,1484,Sí
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PAN_PRS,2477,4560,1,138,4698,7382,2477,Sí
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PRI,806,4560,1,138,4698,7382,806,No
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PRD_PT_MC,697,4560,1,138,4698,7382,697,Sí
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PVEM,41,4560,1,138,4698,7382,41,No
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,NUAL,144,4560,1,138,4698,7382,144,No
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,MORENA,122,4560,1,138,4698,7382,122,No
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PH,197,4560,1,138,4698,7382,197,No
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,ES,33,4560,1,138,4698,7382,33,No
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PRI_PVEM_NUAL,12,4560,1,138,4698,7382,1003,Sí
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PRI_PVEM...23,18,4560,1,138,4698,7382,824,Sí
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PRI_NUAL,12,4560,1,138,4698,7382,962,Sí
2015,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,PVEM_NUAL,0,4560,1,138,4698,7382,185,Sí
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PAN_PRS,5407,13874,38,474,14348,32546,5407,Sí
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PRI,1886,13874,38,474,14348,32546,1886,No
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PRD_PT_MC,4183,13874,38,474,14348,32546,4183,Sí
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PVEM,271,13874,38,474,14348,32546,271,No
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,NUAL,203,13874,38,474,14348,32546,203,No
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,MORENA,1010,13874,38,474,14348,32546,1010,No
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PH,325,13874,38,474,14348,32546,325,No
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,ES,447,13874,38,474,14348,32546,447,No
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PRI_PVEM_NUAL,46,13874,38,474,14348,32546,2406,Sí
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PRI_PVEM...23,47,13874,38,474,14348,32546,1933,Sí
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PRI_NUAL,10,13874,38,474,14348,32546,2099,Sí
2015,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,PVEM_NUAL,1,13874,38,474,14348,32546,475,Sí
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PAN,3126,16514,NA,727,17241,27500,3126,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PRI,6619,16514,NA,727,17241,27500,6619,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PRD,1258,16514,NA,727,17241,27500,1258,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PVEM,421,16514,NA,727,17241,27500,421,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PT,232,16514,NA,727,17241,27500,232,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,MC,316,16514,NA,727,17241,27500,316,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,NUAL,1360,16514,NA,727,17241,27500,1360,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,MORENA,2177,16514,NA,727,17241,27500,2177,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PH,249,16514,NA,727,17241,27500,249,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,ES,500,16514,NA,727,17241,27500,500,No
2015,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,PRI_PVEM,256,16514,NA,727,17241,27500,7296,Sí
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PAN,5630,14083,NA,478,14561,27038,5630,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PRI,4384,14083,NA,478,14561,27038,4384,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PRD,429,14083,NA,478,14561,27038,429,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PVEM,275,14083,NA,478,14561,27038,275,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PT,150,14083,NA,478,14561,27038,150,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,MC,244,14083,NA,478,14561,27038,244,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,NUAL,758,14083,NA,478,14561,27038,758,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,MORENA,1377,14083,NA,478,14561,27038,1377,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PH,198,14083,NA,478,14561,27038,198,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,ES,361,14083,NA,478,14561,27038,361,No
2015,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,PRI_PVEM,277,14083,NA,478,14561,27038,4936,Sí
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PAN,2224,13623,NA,611,14234,26658,2224,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PRI,5305,13623,NA,611,14234,26658,5305,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PRD,1151,13623,NA,611,14234,26658,1151,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PVEM,365,13623,NA,611,14234,26658,365,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PT,301,13623,NA,611,14234,26658,301,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,MC,275,13623,NA,611,14234,26658,275,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,NUAL,928,13623,NA,611,14234,26658,928,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,MORENA,1887,13623,NA,611,14234,26658,1887,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PH,269,13623,NA,611,14234,26658,269,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,ES,676,13623,NA,611,14234,26658,676,No
2015,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,PRI_PVEM,242,13623,NA,611,14234,26658,5912,Sí
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PAN,3042,15451,NA,691,16142,27313,3042,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PRI,5723,15451,NA,691,16142,27313,5723,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PRD,659,15451,NA,691,16142,27313,659,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PVEM,607,15451,NA,691,16142,27313,607,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PT,227,15451,NA,691,16142,27313,227,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,MC,292,15451,NA,691,16142,27313,292,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,NUAL,1233,15451,NA,691,16142,27313,1233,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,MORENA,2273,15451,NA,691,16142,27313,2273,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PH,358,15451,NA,691,16142,27313,358,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,ES,471,15451,NA,691,16142,27313,471,No
2015,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,PRI_PVEM,566,15451,NA,691,16142,27313,6896,Sí
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PAN,3165,16514,NA,741,17255,28441,3165,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PRI,5687,16514,NA,741,17255,28441,5687,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PRD,753,16514,NA,741,17255,28441,753,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PVEM,380,16514,NA,741,17255,28441,380,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PT,494,16514,NA,741,17255,28441,494,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,MC,291,16514,NA,741,17255,28441,291,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,NUAL,2655,16514,NA,741,17255,28441,2655,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,MORENA,2079,16514,NA,741,17255,28441,2079,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PH,319,16514,NA,741,17255,28441,319,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,ES,466,16514,NA,741,17255,28441,466,No
2015,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,PRI_PVEM,225,16514,NA,741,17255,28441,6292,Sí
2015,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,PAN,3930,17519,NA,731,18250,32114,3930,No
2015,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,PRI,7709,17519,NA,731,18250,32114,7709,No
2015,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,PRD,886,17519,NA,731,18250,32114,886,No
2015,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,PVEM,347,17519,NA,731,18250,32114,347,No
