Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,Coalición
2023,5,COAHUILA,20,MUZQUIZ,PAN_PRD,6,28549,4,884,29437,55716,Sí
2023,5,COAHUILA,20,MUZQUIZ,PRI_PRD,30,28549,4,884,29437,55716,Sí
2023,5,COAHUILA,20,MUZQUIZ,PVEM_UDC,6,28549,4,884,29437,55716,Sí
2023,5,COAHUILA,22,NAVA,PAN,562,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,PRI,5194,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,PRD,130,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,PVEM,194,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,PT,1846,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,UDC,206,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,MC,160,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,MORENA,3722,12144,5,256,12405,24851,No
2023,5,COAHUILA,22,NAVA,PAN_PRI_PRD,60,12144,5,256,12405,24851,Sí
2023,5,COAHUILA,22,NAVA,PAN_PRI,49,12144,5,256,12405,24851,Sí
2023,5,COAHUILA,22,NAVA,PAN_PRD,2,12144,5,256,12405,24851,Sí
2023,5,COAHUILA,22,NAVA,PRI_PRD,10,12144,5,256,12405,24851,Sí
2023,5,COAHUILA,22,NAVA,PVEM_UDC,9,12144,5,256,12405,24851,Sí
2023,5,COAHUILA,24,PARRAS,PAN,398,19433,2,618,20053,34709,No
2023,5,COAHUILA,24,PARRAS,PRI,9114,19433,2,618,20053,34709,No
2023,5,COAHUILA,24,PARRAS,PRD,544,19433,2,618,20053,34709,No
2023,5,COAHUILA,24,PARRAS,PVEM,471,19433,2,618,20053,34709,No
